Rank,Player,Position,Tier
1,Jahmyr Gibbs,RB,1
2,Bijan Robinson,RB,1
3,Ja'Marr Chase,WR,1
4,Puka Nacua,WR,1
5,Amon-Ra St. Brown,WR,2
6,Jaxon Smith-Njigba,WR,2
7,Christian McCaffrey,RB,2
8,Jonathan Taylor,RB,2
9,James Cook,RB,2
10,Kenneth Walker III,RB,3
11,Chase Brown,RB,3
12,CeeDee Lamb,WR,3
13,Justin Jefferson,WR,3
14,Brock Bowers,TE,3
15,Omarion Hampton,RB,4
16,Ashton Jeanty,RB,4
17,Saquon Barkley,RB,4
18,Derrick Henry,RB,4
19,Chris Olave,WR,4
20,Malik Nabers,WR,4
21,A.J. Brown,WR,4
22,DeVonta Smith,WR,4
23,De'Von Achane,RB,4
24,George Pickens,WR,5
25,Nico Collins,WR,5
26,Drake London,WR,5
27,Jaylen Waddle,WR,5
28,Ladd McConkey,WR,5
29,Emeka Egbuka,WR,5
30,Garrett Wilson,WR,5
31,Rashee Rice,WR,5
32,Trey McBride,TE,5
33,Colston Loveland,TE,5
34,Breece Hall,RB,5
35,Jeremiyah Love,RB,5
36,Josh Allen,QB,5
37,Javonte Williams,RB,6
38,Travis Etienne,RB,6
39,Luther Burden III,WR,6
40,Zay Flowers,WR,6
41,Terry McLaurin,WR,6
42,Tee Higgins,WR,6
43,D'Andre Swift,RB,6
44,Kyren Williams,RB,6
45,Jameson Williams,WR,6
46,Tetairoa McMillan,WR,6
47,Lamar Jackson,QB,6
48,Davante Adams,WR,6
49,Mike Evans,WR,6
50,Cam Skattebo,RB,6
51,Parker Washington,WR,7
52,Christian Watson,WR,7
53,Tyler Warren,TE,7
54,David Montgomery,RB,7
55,Bhayshul Tuten,RB,7
56,Rome Odunze,WR,7
57,DJ Moore,WR,7
58,Tucker Kraft,TE,7
59,Jayden Daniels,QB,7
60,Drake Maye,QB,7
61,Joe Burrow,QB,7
62,Sam LaPorta,TE,7
63,Josh Jacobs,RB,7
64,TreVeyon Henderson,RB,7
65,Rhamondre Stevenson,RB,7
66,Jadarian Price,RB,8
67,Bucky Irving,RB,8
68,Quinshon Judkins,RB,8
69,Trevor Lawrence,QB,8
70,Caleb Williams,QB,8
71,Justin Herbert,QB,8
72,Jalen Hurts,QB,8
73,Josh Downs,WR,8
74,Harold Fannin,TE,8
75,Kyle Pitts,TE,8
76,Jaylen Warren,RB,8
77,Michael Pittman,WR,8
78,Dak Prescott,QB,8
79,Tony Pollard,RB,8
80,Wan'Dale Robinson,WR,8
81,Chris Godwin Jr.,WR,8
82,J.K. Dobbins,RB,8
83,Jonathon Brooks,RB,8
84,Carnell Tate,WR,8
85,Brian Thomas Jr.,WR,8
86,Marvin Harrison Jr.,WR,8
87,Blake Corum,RB,9
88,Chuba Hubbard,RB,9
89,Jordan Mason,RB,9
90,Rico Dowdle,RB,9
91,Quentin Johnston,WR,9
92,DK Metcalf,WR,9
93,Jordan Addison,WR,9
94,Brock Purdy,QB,9
95,Michael Wilson,WR,9
96,Courtland Sutton,WR,9
97,George Kittle,TE,9
98,Travis Kelce,TE,9
99,Isaiah Likely,TE,9
100,Stefon Diggs,WR,9
101,KC Concepcion,WR,9
102,De'Zhaun Stribling,WR,9
103,Dallas Goedert,TE,9
104,Dalton Kincaid,TE,9
105,Alec Pierce,WR,9
106,Jacory Croskey-Merritt,RB,10
107,Kenneth Gainwell,RB,10
108,RJ Harvey,RB,10
109,Makai Lemon,WR,10
110,Jalen Coker,WR,10
111,Jakobi Meyers,WR,10
112,Jayden Reed,WR,10
113,Jared Goff,QB,10
114,Jaxson Dart,QB,10
115,Patrick Mahomes,QB,10
116,Bo Nix,QB,10
117,Tyler Shough,QB,10
118,Matthew Stafford,QB,10
119,Rashid Shaheed,WR,10
120,Chris Rodriguez,RB,10
121,Keaton Mitchell,RB,10
122,Rachaad White,RB,10
123,Kayshon Boutte,WR,10
124,Matthew Golden,WR,10
125,Juwan Johnson,TE,10
126,Chig Okonkwo,TE,10
127,Kyle Monangai,RB,10
128,Xavier Worthy,WR,10
129,Romeo Doubs,WR,10
130,Jordyn Tyson,WR,10
131,Aaron Jones,RB,10
132,Kyler Murray,QB,10
133,Deebo Samuel,WR,11
134,Tyjae Spears,RB,11
135,Khalil Shakir,WR,11
136,Malik Willis,QB,11
137,Jordan Love,QB,11
138,Baker Mayfield,QB,11
139,Jonah Coleman,RB,11
140,Mark Andrews,TE,11
141,Daniel Jones,QB,11
142,Denzel Boston,WR,12
143,Tyler Allgeier,RB,12
144,Hunter Henry,TE,12
145,Tank Bigsby,RB,12
146,Dontayvion Wicks,WR,12
147,Ryan Flournoy,WR,12
148,MarShawn Lloyd,RB,12
149,Tre Tucker,WR,12
150,Cyrus Allen,WR,12
